# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.00561 0 0
2 0.01683 0 0
3 0.02805 0 0
4 0.03927 0 0
5 0.05049 0 0
6 0.06171 0 0
7 0.07293 0 0
8 0.08415 0 0
9 0.09537 0 0
10 0.10659 0 0
11 0.11781 0 0
12 0.12903 0 0
13 0.14025 0 0
14 0.15147 0 0
15 0.16269 0 0
16 0.17391 0 0
17 0.18513 0 0
18 0.19635 0 0
19 0.20757 0 0
20 0.21879 0 0
21 0.23001 0 0
22 0.24123 0 0
23 0.25245 0 0
24 0.26367 0 0
25 0.27489 0 0
26 0.28611 0 0
27 0.29733 0 0
28 0.30855 0 0
29 0.31977 0 0
30 0.33099 0 0
31 0.34221 0 0
32 0.35343 0 0
33 0.36465 0 0
34 0.37587 0 0
35 0.38709 0 0
36 0.39831 0 0
37 0.40953 0 0
38 0.42075 0 0
39 0.43197 0 0
40 0.44319 0 0
41 0.45441 0 0
42 0.46563 0 0
43 0.47685 0 0
44 0.48807 0 0
45 0.49929 0 0
46 0.51051 0 0
47 0.52173 0 0
48 0.53295 0 0
49 0.54417 0 0
50 0.55539 0 0
51 0.56661 0 0
52 0.57783 0 0
53 0.58905 0 0
54 0.60027 0 0
55 0.61149 0 0
56 0.62271 0 0
57 0.63393 0 0
58 0.64515 0 0
59 0.65637 0 0
60 0.66759 0 0
61 0.67881 0 0
62 0.69003 0 0
63 0.70125 0 0
64 0.71247 0 0
65 0.72369 0 0
66 0.73491 0 0
67 0.74613 0 0
68 0.75735 0 0
69 0.76857 0 0
70 0.77979 0 0
71 0.79101 0 0
72 0.80223 0 0
73 0.81345 0 0
74 0.82467 0 0
75 0.83589 0 0
76 0.84711 0 0
77 0.85833 0 0
78 0.86955 0 0
79 0.88077 0 0
80 0.89199 0.000895879 4e-05
81 0.90321 0.00174752 0.00012
82 0.91443 0.00937694 0.00056
83 0.92565 0.0224616 0.00164
84 0.93687 0.0535988 0.00428
85 0.94809 0.105468 0.0096
86 0.95931 0.200222 0.01994
87 0.97053 0.303078 0.03596
88 0.98175 0.467766 0.06126
89 0.99297 0.605818 0.09478
90 1.00419 0.825976 0.14152
91 1.01541 0.975126 0.19794
92 1.02663 1.14262 0.26552
93 1.03785 1.27455 0.34256
94 1.04907 1.38863 0.42832
95 1.06029 1.43358 0.51876
96 1.07151 1.50026 0.61542
97 1.08273 1.58728 0.71984
98 1.09395 1.59778 0.82714
99 1.10517 1.62123 0.93826
100 1.11639 1.56936 1.04802
100000 100
1 0.00561 0 0
2 0.01683 0 0
3 0.02805 0 0
4 0.03927 0 0
5 0.05049 0 0
6 0.06171 0 0
7 0.07293 0 0
8 0.08415 0 0
9 0.09537 0 0
10 0.10659 0 0
11 0.11781 0 0
12 0.12903 0 0
13 0.14025 0 0
14 0.15147 0 0
15 0.16269 0 0
16 0.17391 0 0
17 0.18513 0 0
18 0.19635 0 0
19 0.20757 0 0
20 0.21879 0 0
21 0.23001 0 0
22 0.24123 0 0
23 0.25245 0 0
24 0.26367 0 0
25 0.27489 0 0
26 0.28611 0 0
27 0.29733 0 0
28 0.30855 0 0
