# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00259144 0.00042
24 0.94 0.10283 0.0186
25 0.98 0.644356 0.14242
26 1.02 1.57558 0.4704
27 1.06 2.28602 0.98432
28 1.1 2.55611 1.60314
29 1.14 2.48912 2.25036
30 1.18 2.20414 2.8644
31 1.22 1.96494 3.44954
32 1.26 1.7068 3.99168
33 1.3 1.52058 4.50582
34 1.34 1.33924 4.98694
35 1.38 1.23985 5.45934
36 1.42 1.12964 5.91506
37 1.46 1.07155 6.37204
38 1.5 1.02814 6.83486
39 1.54 0.976521 7.2982
40 1.58 0.954816 7.77508
41 1.62 0.928133 8.2624
42 1.66 0.927478 8.77372
43 1.7 0.927309 9.30988
44 1.74 0.950279 9.88548
45 1.78 0.957019 10.4921
46 1.82 0.979549 11.1413
47 1.86 1.00936 11.8399
48 1.9 1.05509 12.6019
49 1.94 1.07937 13.4146
50 1.98 1.1193 14.2925
51 2.02 1.15024 15.2315
52 2.06 1.16261 16.2185
53 2.1 1.20121 17.2783
54 2.14 1.20244 18.38
55 2.18 1.20737 19.528
56 2.22 1.1832 20.6946
57 2.26 1.1744 21.8946
58 2.3 1.15326 23.1151
59 2.34 1.13036 24.3534
60 2.38 1.10545 25.6061
61 2.42 1.08319 26.8752
62 2.46 1.07233 28.1735
63 2.5 1.05135 29.4881
64 2.54 1.03577 30.8249
65 2.58 1.03301 32.2006
66 2.62 1.02355 33.6062
67 2.66 1.02287 35.0541
68 2.7 1.01757 36.5382
69 2.74 1.02436 38.0768
70 2.78 1.02403 39.6601
71 2.82 1.02224 41.2864
72 2.86 1.0302 42.9722
73 2.9 1.03689 44.7168
74 2.94 1.03819 46.5121
75 2.98 1.04653 48.3713
76 3.02 1.03772 50.2648
77 3.06 1.04599 52.2242
78 3.1 1.03931 54.2223
79 3.14 1.04361 56.2809
80 3.18 1.04829 58.4016
81 3.22 1.04592 60.5712
82 3.26 1.03843 62.779
83 3.3 1.03442 65.0326
84 3.34 1.02791 67.3267
85 3.38 1.02687 69.6737
86 3.42 1.01779 72.0553
87 3.46 1.019 74.4958
88 3.5 1.01124 76.974
89 3.54 1.0049 79.4934
90 3.58 1.00133 82.0608
91 3.62 1.00125 84.6857
92 3.66 0.99891 87.3627
93 3.7 0.991194 90.0774
94 3.74 0.997329 92.8683
95 3.78 0.993091 95.707
96 3.82 0.992962 98.6058
97 3.86 0.995489 101.573
98 3.9 0.99783 104.609
99 3.94 0.991853 107.69
100 3.98 0.995286 110.844
100000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00382545 0.00062
24 0.94 0.103622 0.01894
25 0.98 0.64571 0.14302
26 1.02 1.55031 0.46574
27 1.06 2.27241 0.9766
28 1.1 2.57304 1.59952
29 1.14 2.45843 2.23876
30 1.18 2.20931 2.85424
31 1.22 1.93102 3.42928
32 1.26 1.7 3.96926
33 1.3 1.51945 4.48302
34 1.34 1.35578 4.97008
35 1.38 1.23114 5.43916
36 1.42 1.12686 5.89376
37 1.46 1.06709 6.34884
38 1.5 1.00748 6.80236
39 1.54 0.97825 7.26652
40 1.58 0.941561 7.73678
41 1.62 0.927066 8.22354
42 1.66 0.918227 8.72976
43 1.7 0.931079 9.2681
44 1.74 0.93859 9.83662
45 1.78 0.960931 10.4457
46 1.82 0.980907 11.0958
47 1.86 1.01523 11.7985
48 1.9 1.03972 12.5494
49 1.94 1.07791 13.361
50 1.98 1.11958 14.2391
51 2.02 1.15068 15.1785
52 2.06 1.17317 16.1745
53 2.1 1.1926 17.2267
54 2.14 1.20722 18.3327
55 2.18 1.19681 19.4706
56 2.22 1.18406 20.6381
57 2.26 1.17328 21.837
58 2.3 1.1433 23.047
59 2.34 1.11736 24.271
60 2.38 1.09809 25.5154
61 2.42 1.08115 26.7821
62 2.46 1.06444 28.0708
63 2.5 1.0437 29.3758
64 2.54 1.03817 30.7158
65 2.58 1.02838 32.0853
66 2.62 1.02265 33.4897
67 2.66 1.01729 34.9297
68 2.7 1.02281 36.4214
